epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,16808.7,0.88248,0.50208,0.88472,0.92062,0.8319,0.91384,0.66634,0.8145,0.42575,0.88647,0.00581371,0.00581371,0.00581371
150,16918.5,0.87965,0.49405,0.88049,0.91764,0.83682,0.91393,0.66535,0.81922,0.42462,0.88716,0.00578543,0.00578543,0.00578543
151,17029.2,0.8691,0.48818,0.87398,0.9038,0.8504,0.91603,0.66774,0.81876,0.4253,0.88668,0.00575714,0.00575714,0.00575714
152,17140.2,0.86687,0.48884,0.87989,0.90599,0.84267,0.9144,0.66895,0.81686,0.42593,0.88731,0.00572886,0.00572886,0.00572886
153,17250.3,0.88197,0.49566,0.8802,0.91472,0.84543,0.91555,0.66875,0.81511,0.42462,0.88625,0.00570057,0.00570057,0.00570057
154,17362.3,0.87928,0.4957,0.87933,0.9157,0.8495,0.92031,0.66805,0.81647,0.42404,0.88373,0.00567229,0.00567229,0.00567229
155,17473.6,0.8652,0.48899,0.87853,0.91761,0.84355,0.91952,0.67117,0.81433,0.42134,0.88457,0.005644,0.005644,0.005644
156,17584.7,0.87195,0.48702,0.87902,0.91714,0.84509,0.92195,0.67116,0.81365,0.42196,0.88416,0.00561571,0.00561571,0.00561571
157,17696,0.87402,0.48907,0.87857,0.9059,0.85099,0.92093,0.66948,0.8136,0.42141,0.88404,0.00558743,0.00558743,0.00558743
158,17809.1,0.88544,0.49878,0.87761,0.9052,0.8467,0.92115,0.66856,0.81704,0.42309,0.88495,0.00555914,0.00555914,0.00555914
159,17920.2,0.87583,0.49521,0.8788,0.90591,0.84776,0.92188,0.66927,0.8173,0.42342,0.88527,0.00553086,0.00553086,0.00553086
160,18032.2,0.87784,0.48714,0.88085,0.91015,0.84831,0.92311,0.67073,0.81397,0.42063,0.8852,0.00550257,0.00550257,0.00550257
161,18144.6,0.87622,0.49282,0.87982,0.90698,0.84654,0.9244,0.66972,0.81614,0.41973,0.88546,0.00547429,0.00547429,0.00547429
162,18258.8,0.87233,0.48869,0.88221,0.91241,0.8403,0.92557,0.66832,0.81461,0.41924,0.88469,0.005446,0.005446,0.005446
163,18369.4,0.86899,0.4884,0.87857,0.90847,0.84914,0.92694,0.67182,0.81427,0.41681,0.88503,0.00541771,0.00541771,0.00541771
164,18482,0.87308,0.48949,0.87781,0.90959,0.85037,0.92687,0.67153,0.81232,0.41654,0.88318,0.00538943,0.00538943,0.00538943
165,18592.9,0.87241,0.48606,0.87857,0.90484,0.84852,0.92323,0.67257,0.81003,0.4172,0.88222,0.00536114,0.00536114,0.00536114
166,18703.9,0.87128,0.4895,0.87418,0.89557,0.85837,0.92251,0.67178,0.81281,0.41709,0.8835,0.00533286,0.00533286,0.00533286
167,18816,0.87302,0.48814,0.87819,0.91528,0.84236,0.92148,0.67124,0.81092,0.41728,0.88298,0.00530457,0.00530457,0.00530457
168,18934.4,0.86676,0.48531,0.87618,0.9195,0.84406,0.92151,0.67144,0.81171,0.41597,0.88299,0.00527629,0.00527629,0.00527629
169,19047.8,0.86209,0.48252,0.87543,0.91634,0.84312,0.91821,0.67033,0.81328,0.41684,0.88301,0.005248,0.005248,0.005248
170,19159.8,0.85,0.47623,0.87802,0.92021,0.84421,0.92083,0.66912,0.81508,0.41692,0.88239,0.00521971,0.00521971,0.00521971
171,19269.7,0.85985,0.48401,0.88022,0.92144,0.84298,0.92089,0.6715,0.81341,0.41718,0.88111,0.00519143,0.00519143,0.00519143
